id,user_id,platform,platform_id,investment_type,asset_class,project_name,company_name,isin,invested_amount,annual_rate,duration_months,capital_repaid,remaining_capital,monthly_payment,pru,investment_date,signature_date,expected_end_date,actual_end_date,status,is_delayed,is_short_term,created_at,updated_at
6cbd3515-86fe-4235-937d-d9c48e0bea8a,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,Le Cygne,Le Cygne,,500.00,12.00,18,0.00,500.00,,,2024-12-26,2024-12-20,2026-06-26,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
8024babd-808d-4ce2-9825-cb721a47b560,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,Le Corsaire,Le Corsaire,,500.00,12.00,20,0.00,500.00,,,2024-12-27,2024-12-27,2026-09-17,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
b65128cf-a700-4053-bca7-47a08c42dfba,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,L’Olympique,L’Olympique,,500.00,12.00,18,0.00,500.00,,,2025-01-21,2025-01-21,2026-08-07,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
31c2ff3f-c4ac-40ff-ae78-2cfe2f145755,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,L’Humoriste,L’Humoriste,,500.00,11.50,22,0.00,500.00,,,2025-04-22,2025-04-29,2027-03-02,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
90a43a03-df3f-432b-9a62-539b98e3f16e,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,Le Brillant,Le Brillant,,500.00,12.00,18,0.00,500.00,,,2025-06-26,2025-06-26,2027-01-03,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
c66cc0b2-b326-48a0-9691-bf4b8b8f0ab2,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,"La Mangue ","La Mangue ",,500.00,13.20,20,0.00,500.00,,,2023-11-13,2023-11-13,2025-07-20,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
0e0caf65-e0df-4cd5-ae32-a4a4e72adecf,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,La Papalia,La Papalia,,500.00,12.00,24,0.00,500.00,,,2025-04-17,2025-04-17,2027-04-30,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
33d3d547-9cfc-4507-873a-027d925a793b,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,"Le Virtuose ","Le Virtuose ",,500.00,11.50,30,0.00,500.00,,,2025-03-03,2025-03-03,2027-09-14,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
f0c369d3-fae1-40e8-a691-d160f1ea60e6,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,L'Aiguille,L'Aiguille,,500.00,12.00,18,0.00,500.00,,,2024-03-22,2024-03-22,2025-10-05,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
bd9025ce-c90b-4453-ba19-0df3f08a881d,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,Le Coach,Le Coach,,500.00,12.00,36,0.00,500.00,,,2024-04-30,2024-04-26,2027-05-06,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
