id,investment_id,user_id,platform,flow_type,flow_direction,gross_amount,net_amount,tax_amount,capital_amount,interest_amount,transaction_date,status,description,payment_method,created_at
2a18cf8e-9ec8-49b0-8f98-38b733748dc7,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.32,1.32,0.00,0.00,0.00,2024-08-16,completed,Echéance n°12 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.32,,2025-07-14 01:12:51.072762+00
3bcad9b1-35a3-45c0-ae81-b8c976153538,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,6.48,6.48,0.00,0.00,0.00,2024-08-16,completed,Echéance n°23 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 5.87Part intérêt : 0.61,,2025-07-14 01:12:51.072762+00
317930a4-07c8-4f0c-9efd-a05d061c5c4b,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,4.55,4.55,0.00,0.00,0.00,2024-08-16,completed,Echéance n°23 prélevée - groupe best / Groupe Best Part capital : 4.49Part intérêt : 0.06,,2025-07-14 01:12:51.072762+00
914330c9-9f76-4749-b3b8-4f9969a54501,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,6.48,6.48,0.00,0.00,0.00,2024-08-07,completed,Echéance n°22 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 5.83Part intérêt : 0.65,,2025-07-14 01:12:51.072762+00
acc38414-30a5-4d3f-98bd-fe7c96e70e85,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,4.55,4.55,0.00,0.00,0.00,2024-07-18,completed,Echéance n°22 prélevée - groupe best / Groupe Best Part capital : 4.46Part intérêt : 0.09,,2025-07-14 01:12:51.072762+00
6bf4806d-f6fb-400b-bbbf-f4daf1db4dbc,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.77,1.77,0.00,0.00,0.00,2024-07-18,completed,Echéance n°2 prélevée - Riverparc Patrimoine / Riverparc PatrimoinePart capital : 0.00Part intérêt : 1.77,,2025-07-14 01:12:51.072762+00
42ba8a8a-1697-48a6-94b8-ef54795551a6,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.32,0.32,0.00,0.00,0.00,2024-07-18,completed,Echéance n°9 prélevée - C.L.S Immo-Prestige / CLS IMMO-PRESTIGE #3Part capital : 0.00Part intérêt : 0.32,,2025-07-14 01:12:51.072762+00
c80ddf03-77c0-4df8-a398-f8298ff10fc7,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.32,1.32,0.00,0.00,0.00,2024-07-18,completed,Echéance n°11 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.32,,2025-07-14 01:12:51.072762+00
a04f16ee-571d-4230-8ad0-57f956c9af7e,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,6.48,6.48,0.00,0.00,0.00,2024-06-18,completed,Echéance n°21 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 5.79Part intérêt : 0.69,,2025-07-14 01:12:51.072762+00
92b13afa-153d-4bff-bcfd-d0adb1593a76,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,4.43,4.43,0.00,0.00,0.00,2024-06-14,completed,Echéance n°1 prélevée - Riverparc Patrimoine / Riverparc PatrimoinePart capital : 0.00Part intérêt : 4.43,,2025-07-14 01:12:51.072762+00
22ec45be-c8d9-4379-87d2-324dbe069cfb,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.32,0.32,0.00,0.00,0.00,2024-06-14,completed,Echéance n°8 prélevée - C.L.S Immo-Prestige / CLS IMMO-PRESTIGE #3Part capital : 0.00Part intérêt : 0.32,,2025-07-14 01:12:51.072762+00
217b9437-b9f6-44fc-b50e-4f14f9a62d71,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.32,1.32,0.00,0.00,0.00,2024-06-14,completed,Echéance n°10 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.32,,2025-07-14 01:12:51.072762+00
0835ef02-6ddb-4b42-af62-5434b2d8132a,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,4.55,4.55,0.00,0.00,0.00,2024-06-14,completed,Echéance n°21 prélevée - groupe best / Groupe Best Part capital : 4.42Part intérêt : 0.13,,2025-07-14 01:12:51.072762+00
e87bbcba-db82-4852-8286-a46df574a5ba,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,6.48,6.48,0.00,0.00,0.00,2024-05-17,completed,Echéance n°20 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 5.75Part intérêt : 0.73,,2025-07-14 01:12:51.072762+00
a86bd0d0-3cb2-48b2-bf70-ee98d7b20977,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,4.55,4.55,0.00,0.00,0.00,2024-05-17,completed,Echéance n°20 prélevée - groupe best / Groupe Best Part capital : 4.39Part intérêt : 0.16,,2025-07-14 01:12:51.072762+00
fa30d5c8-16a5-4c3d-b6c1-a06b2659464d,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.32,0.32,0.00,0.00,0.00,2024-05-17,completed,Echéance n°7 prélevée - C.L.S Immo-Prestige / CLS IMMO-PRESTIGE #3Part capital : 0.00Part intérêt : 0.32,,2025-07-14 01:12:51.072762+00
dad2b570-4142-4bc0-98b0-8c8058ee6d75,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.32,1.32,0.00,0.00,0.00,2024-05-17,completed,Echéance n°9 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.32,,2025-07-14 01:12:51.072762+00
9daa36d7-a807-45ed-be22-21fe91fe4c0a,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,6.47,6.47,0.00,0.00,0.00,2024-04-19,completed,Echéance n°19 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 5.71Part intérêt : 0.76,,2025-07-14 01:12:51.072762+00
4910b18e-a4f8-45fc-8e8c-5d907d29fb5d,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.32,0.32,0.00,0.00,0.00,2024-04-18,completed,Echéance n°6 prélevée - C.L.S Immo-Prestige / CLS IMMO-PRESTIGE #3Part capital : 0.00Part intérêt : 0.32,,2025-07-14 01:12:51.072762+00
d6473522-b2c7-473b-919c-016cbcc2cad3,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.32,1.32,0.00,0.00,0.00,2024-04-18,completed,Echéance n°8 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.32,,2025-07-14 01:12:51.072762+00
e8d98c1f-3333-423b-988f-ea86997b83ac,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,4.55,4.55,0.00,0.00,0.00,2024-04-18,completed,Echéance n°19 prélevée - groupe best / Groupe Best Part capital : 4.36Part intérêt : 0.19,,2025-07-14 01:12:51.072762+00
ffed9778-328a-4726-be5a-f8485af074d2,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,4.55,4.55,0.00,0.00,0.00,2024-03-18,completed,Echéance n°18 prélevée - groupe best / Groupe Best Part capital : 4.33Part intérêt : 0.22,,2025-07-14 01:12:51.072762+00
fd503515-e347-442d-bff8-892ab0b7e2f1,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,6.47,6.47,0.00,0.00,0.00,2024-03-18,completed,Echéance n°18 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 5.67Part intérêt : 0.80,,2025-07-14 01:12:51.072762+00
0c7d5c39-0bf7-4832-bcf5-35fb3fe24e64,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.32,0.32,0.00,0.00,0.00,2024-03-18,completed,Echéance n°5 prélevée - C.L.S Immo-Prestige / CLS IMMO-PRESTIGE #3Part capital : 0.00Part intérêt : 0.32,,2025-07-14 01:12:51.072762+00
63e93027-8045-4ff4-af18-d906ace0137b,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.32,1.32,0.00,0.00,0.00,2024-03-18,completed,Echéance n°7 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.32,,2025-07-14 01:12:51.072762+00
fa0bd400-9d2b-46f9-9e91-341865fa9ae6,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,repayment,in,56.00,56.00,0.00,0.00,0.00,2024-02-19,completed,Remboursement anticipé - TTM INVEST / SAS TTM INVESTPart capital : 56.00Part intérêt : 0.00,,2025-07-14 01:12:51.072762+00
9c6b7c9b-5993-435c-8c15-0256be897a29,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.32,0.32,0.00,0.00,0.00,2024-02-16,completed,Echéance n°4 prélevée - C.L.S Immo-Prestige / CLS IMMO-PRESTIGE #3Part capital : 0.00Part intérêt : 0.32,,2025-07-14 01:12:51.072762+00
526c203d-afa2-40bd-8a72-17b0bdb6ec28,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.32,1.32,0.00,0.00,0.00,2024-02-16,completed,Echéance n°6 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.32,,2025-07-14 01:12:51.072762+00
67921646-bf43-463d-b9b1-6e975b5c8c60,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.47,0.47,0.00,0.00,0.00,2024-02-16,completed,Echéance n°6 prélevée - TTM INVEST / SAS TTM INVESTPart capital : 0.00Part intérêt : 0.47,,2025-07-14 01:12:51.072762+00
b60115e5-e404-4b55-a374-0b4a01574e96,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,4.55,4.55,0.00,0.00,0.00,2024-02-16,completed,Echéance n°17 prélevée - groupe best / Groupe Best Part capital : 4.30Part intérêt : 0.25,,2025-07-14 01:12:51.072762+00
bdf393ab-f4ce-46b4-8ff6-820eaaf469ce,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,6.48,6.48,0.00,0.00,0.00,2024-02-16,completed,Echéance n°17 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 5.63Part intérêt : 0.85,,2025-07-14 01:12:51.072762+00
e03f1a63-a854-4c15-8103-223f3471b9b4,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,repayment,in,61.00,61.00,0.00,0.00,0.00,2024-01-22,completed,Remboursement anticipé - ADV Invest / ADV Invest - Divonne les BainsPart capital : 61.00Part intérêt : 0.00,,2025-07-14 01:12:51.072762+00
928546de-55af-4951-a6ae-70a2f2770537,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.32,0.32,0.00,0.00,0.00,2024-01-18,completed,Echéance n°3 prélevée - C.L.S Immo-Prestige / CLS IMMO-PRESTIGE #3Part capital : 0.00Part intérêt : 0.32,,2025-07-14 01:12:51.072762+00
39937618-9827-42b0-922e-2eb36f1088fd,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.32,1.32,0.00,0.00,0.00,2024-01-18,completed,Echéance n°5 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.32,,2025-07-14 01:12:51.072762+00
8b3cde3c-06b4-4914-bedf-aaa4b7fd4c7b,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.47,0.47,0.00,0.00,0.00,2024-01-18,completed,Echéance n°5 prélevée - TTM INVEST / SAS TTM INVESTPart capital : 0.00Part intérêt : 0.47,,2025-07-14 01:12:51.072762+00
4e317256-f0a2-4aaf-bd4a-698910148254,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.51,0.51,0.00,0.00,0.00,2024-01-18,completed,Echéance n°7 prélevée - ADV Invest / ADV Invest - Divonne les BainsPart capital : 0.00Part intérêt : 0.51,,2025-07-14 01:12:51.072762+00
2fa88d8c-a950-4a20-9562-3f257c865ae1,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,4.55,4.55,0.00,0.00,0.00,2024-01-18,completed,Echéance n°16 prélevée - groupe best / Groupe Best Part capital : 4.27Part intérêt : 0.28,,2025-07-14 01:12:51.072762+00
95c87b25-9f62-4805-8e0d-066cf99b3423,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,6.48,6.48,0.00,0.00,0.00,2024-01-18,completed,Echéance n°16 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 5.59Part intérêt : 0.89,,2025-07-14 01:12:51.072762+00
f7c8683b-12bc-4326-bfa8-5cabe0ffd188,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.32,0.32,0.00,0.00,0.00,2023-12-18,completed,Echéance n°2 prélevée - C.L.S Immo-Prestige / CLS IMMO-PRESTIGE #3Part capital : 0.00Part intérêt : 0.32,,2025-07-14 01:12:51.072762+00
7f5a07be-f589-4bf7-aa57-3d7cf2a0807b,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.32,1.32,0.00,0.00,0.00,2023-12-18,completed,Echéance n°4 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.32,,2025-07-14 01:12:51.072762+00
ce05aac3-963f-4eff-afaa-3e6dbc80599a,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.47,0.47,0.00,0.00,0.00,2023-12-18,completed,Echéance n°4 prélevée - TTM INVEST / SAS TTM INVESTPart capital : 0.00Part intérêt : 0.47,,2025-07-14 01:12:51.072762+00
f90137e7-9410-412d-b8bd-4208cb5e86e9,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.51,0.51,0.00,0.00,0.00,2023-12-18,completed,Echéance n°6 prélevée - ADV Invest / ADV Invest - Divonne les BainsPart capital : 0.00Part intérêt : 0.51,,2025-07-14 01:12:51.072762+00
62b6c130-450b-406e-bd38-260556666302,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,4.55,4.55,0.00,0.00,0.00,2023-12-18,completed,Echéance n°15 prélevée - groupe best / Groupe Best Part capital : 4.24Part intérêt : 0.31,,2025-07-14 01:12:51.072762+00
0abebcd8-9f46-45ae-982b-dca767d41114,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,6.48,6.48,0.00,0.00,0.00,2023-12-18,completed,Echéance n°15 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 5.55Part intérêt : 0.93,,2025-07-14 01:12:51.072762+00
25ab7014-0391-46a5-88db-c1648c55c5b0,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,repayment,in,30.00,30.00,0.00,0.00,0.00,2023-12-07,completed,Remboursement anticipé - AFI4 / AFI4Part capital : 30.00Part intérêt : 0.00,,2025-07-14 01:12:51.072762+00
4ce9fbf8-534c-4efb-ab0d-8e91f567fff9,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.23,0.23,0.00,0.00,0.00,2023-12-07,completed,Echéance n°10 prélevée - AFI4 / AFI4Part capital : 0.00Part intérêt : 0.23,,2025-07-14 01:12:51.072762+00
d20d148c-0829-47ad-9f83-85a4c9559b10,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.22,0.22,0.00,0.00,0.00,2023-11-22,completed,Echéance n°9 prélevée - AFI4 / AFI4Part capital : 0.00Part intérêt : 0.22,,2025-07-14 01:12:51.072762+00
cf6d6fe1-2826-4bad-9035-a6407a110ead,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.64,0.64,0.00,0.00,0.00,2023-11-17,completed,Echéance n°1 prélevée - C.L.S Immo-Prestige / CLS IMMO-PRESTIGE #3Part capital : 0.00Part intérêt : 0.64,,2025-07-14 01:12:51.072762+00
3ff4c89c-c549-446c-9283-b5b840e52565,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.47,0.47,0.00,0.00,0.00,2023-11-17,completed,Echéance n°3 prélevée - TTM INVEST / SAS TTM INVESTPart capital : 0.00Part intérêt : 0.47,,2025-07-14 01:12:51.072762+00
f8ec874a-8094-4d1a-8d47-27511b5b294a,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.32,1.32,0.00,0.00,0.00,2023-11-17,completed,Echéance n°3 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.32,,2025-07-14 01:12:51.072762+00
032490cc-1eb2-4c04-a50d-98a0d5767c4b,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.51,0.51,0.00,0.00,0.00,2023-11-17,completed,Echéance n°5 prélevée - ADV Invest / ADV Invest - Divonne les BainsPart capital : 0.00Part intérêt : 0.51,,2025-07-14 01:12:51.072762+00
93f1d4f7-9c6b-47f4-9274-394c5d5f54bd,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,6.48,6.48,0.00,0.00,0.00,2023-11-17,completed,Echéance n°14 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 5.51Part intérêt : 0.97,,2025-07-14 01:12:51.072762+00
7e9e47ec-df49-4179-8d9c-bdc0df212242,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,4.55,4.55,0.00,0.00,0.00,2023-11-17,completed,Echéance n°14 prélevée - groupe best / Groupe Best Part capital : 4.21Part intérêt : 0.34,,2025-07-14 01:12:51.072762+00
