Nature de la transaction;Moyen de paiement;D‚tails;Montant;Statut;Date d?ex‚cution
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/02/2025 05:04:20
Pr‚lŠvement IR;Transfert;;-0,64 ?;R‚ussi;06/02/2025 05:04:20
Remboursement mensualit‚ n§9 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/02/2025 05:04:20
CSG/CRDS;Transfert;;-0,47 ?;R‚ussi;30/01/2025 05:00:35
Pr‚lŠvement IR;Transfert;;-0,35 ?;R‚ussi;30/01/2025 05:00:35
Remboursement mensualit‚ n§20 li‚e au projet L'Ange;Transfert;;40,67 ?;R‚ussi;30/01/2025 05:00:34
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;24/01/2025 05:02:29
Pr‚lŠvement IR;Transfert;;-0,68 ?;R‚ussi;24/01/2025 05:02:29
Remboursement mensualit‚ n§12 li‚e au projet L'Europe;Transfert;;30,88 ?;R‚ussi;24/01/2025 05:02:28
Souscription au projet L?Olympique;Transfert;;-500,00 ?;R‚ussi;21/01/2025 10:00:40
Cr‚dit du compte;Carte de cr‚dit;;300,00 ?;R‚ussi;21/01/2025 09:58:30
Cr‚dit du compte;Carte de cr‚dit;;300,00 ?;chec;21/01/2025 10:11:43
R‚mun‚ration code cadeau - Le Corsaire;Transfert;;5,00 ?;R‚ussi;20/01/2025 18:00:09
CSG/CRDS;Transfert;;-0,19 ?;R‚ussi;17/01/2025 05:00:42
Pr‚lŠvement IR;Transfert;;-0,14 ?;R‚ussi;17/01/2025 05:00:42
Remboursement mensualit‚ n§7 li‚e au projet Le Zola;Transfert;;1,08 ?;R‚ussi;17/01/2025 05:00:41
CSG/CRDS;Transfert;;-2,84 ?;R‚ussi;14/01/2025 12:11:24
Pr‚lŠvement IR;Transfert;;-2,11 ?;R‚ussi;14/01/2025 12:11:24
Remboursement mensualit‚ n§13 li‚e au projet Le Magenta;Transfert;;139,77 ?;R‚ussi;14/01/2025 12:11:24
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/01/2025 05:03:09
Pr‚lŠvement IR;Transfert;;-0,64 ?;R‚ussi;06/01/2025 05:03:09
Remboursement mensualit‚ n§8 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/01/2025 05:03:08
CSG/CRDS;Transfert;;-1,02 ?;R‚ussi;30/12/2024 15:50:35
Remboursement mensualit‚ n§19 li‚e au projet L'Ange;Transfert;;57,15 ?;R‚ussi;30/12/2024 15:50:34
Souscription au projet Le Corsaire;Transfert;;-500,00 ?;R‚ussi;27/12/2024 10:01:06
Cr‚dit du compte;Carte de cr‚dit;;17,00 ?;R‚ussi;26/12/2024 12:49:23
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;24/12/2024 05:02:49
Remboursement mensualit‚ n§11 li‚e au projet L'Europe;Transfert;;5,29 ?;R‚ussi;24/12/2024 05:02:49
Souscription au projet Le Cygne;Transfert;;-500,00 ?;R‚ussi;20/12/2024 20:47:40
CSG/CRDS;Transfert;;-10,49 ?;R‚ussi;15/12/2024 05:03:11
Remboursement mensualit‚ n§12 li‚e au projet L'Om‚ga ;Transfert;;376,88 ?;R‚ussi;15/12/2024 05:03:10
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/12/2024 05:03:06
Remboursement mensualit‚ n§7 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/12/2024 05:03:05
CSG/CRDS;Transfert;;-0,79 ?;R‚ussi;05/12/2024 15:01:53
Remboursement mensualit‚ n§6 li‚e au projet Le Zola;Transfert;;386,94 ?;R‚ussi;05/12/2024 15:01:52
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;25/11/2024 16:35:06
Remboursement mensualit‚ n§10 li‚e au projet L'Europe;Transfert;;5,29 ?;R‚ussi;25/11/2024 16:35:05
R‚mun‚ration code cadeau - La Berge;Transfert;;5,00 ?;R‚ussi;22/11/2024 18:14:45
CSG/CRDS;Transfert;;-0,79 ?;R‚ussi;17/11/2024 05:00:41
Remboursement mensualit‚ n§5 li‚e au projet Le Zola;Transfert;;4,58 ?;R‚ussi;17/11/2024 05:00:40
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/11/2024 05:07:34
Remboursement mensualit‚ n§6 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/11/2024 05:07:33
CSG/CRDS;Transfert;;-0,77 ?;R‚ussi;04/11/2024 12:10:36
Remboursement mensualit‚ n§17 li‚e au projet L'Ange;Transfert;;205,43 ?;R‚ussi;04/11/2024 12:10:35
Souscription au projet La Berge;Transfert;;-500,00 ?;R‚ussi;31/10/2024 12:00:52
Cr‚dit du compte;Carte de cr‚dit;;486,00 ?;R‚ussi;31/10/2024 11:56:09
Cr‚dit du compte;Carte de cr‚dit;;486,00 ?;chec;31/10/2024 11:54:36
Cr‚dit du compte;Carte de cr‚dit;;500,00 ?;chec;31/10/2024 12:08:18
Cr‚dit du compte;Carte de cr‚dit;;500,00 ?;chec;31/10/2024 12:07:28
R‚mun‚ration code cadeau - Le Souffl‚;Transfert;;5,00 ?;R‚ussi;30/10/2024 09:34:30
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;24/10/2024 16:40:09
Remboursement mensualit‚ n§9 li‚e au projet L'Europe;Transfert;;5,29 ?;R‚ussi;24/10/2024 16:40:08
CSG/CRDS;Transfert;;-0,79 ?;R‚ussi;17/10/2024 05:00:39
Remboursement mensualit‚ n§4 li‚e au projet Le Zola;Transfert;;4,58 ?;R‚ussi;17/10/2024 05:00:38
Souscription au projet Le Souffl‚;Transfert;;-500,00 ?;R‚ussi;11/10/2024 10:18:59
Cr‚dit du compte;Carte de cr‚dit;;137,00 ?;R‚ussi;11/10/2024 10:18:36
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/10/2024 05:03:26
Remboursement mensualit‚ n§5 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/10/2024 05:03:25
CSG/CRDS;Transfert;;-13,88 ?;R‚ussi;02/10/2024 09:18:33
Remboursement mensualit‚ n§16 li‚e au projet L'Ange;Transfert;;136,15 ?;R‚ussi;02/10/2024 09:18:32
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;30/09/2024 17:42:20
Remboursement mensualit‚ n§8 li‚e au projet L'Europe;Transfert;;5,29 ?;R‚ussi;30/09/2024 17:42:19
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;27/09/2024 16:28:02
Remboursement mensualit‚ n§7 li‚e au projet L'Europe;Transfert;;5,29 ?;R‚ussi;27/09/2024 16:28:02
CSG/CRDS;Transfert;;-2,58 ?;R‚ussi;18/09/2024 05:04:54
Remboursement mensualit‚ n§3 li‚e au projet Les Nuages ;Transfert;;82,10 ?;R‚ussi;18/09/2024 05:04:53
CSG/CRDS;Transfert;;-0,79 ?;R‚ussi;17/09/2024 05:00:32
Remboursement mensualit‚ n§3 li‚e au projet Le Zola;Transfert;;4,59 ?;R‚ussi;17/09/2024 05:00:32
CSG/CRDS;Transfert;;-2,06 ?;R‚ussi;16/09/2024 12:07:47
Remboursement mensualit‚ n§13 li‚e au projet Le Pommier ;Transfert;;143,07 ?;R‚ussi;16/09/2024 12:07:46
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/09/2024 05:20:54
Remboursement mensualit‚ n§4 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/09/2024 05:20:52
Souscription au projet Le Leclerc;Transfert;;-500,00 ?;R‚ussi;30/08/2024 10:03:13
Cr‚dit du compte;Carte de cr‚dit;;492,00 ?;R‚ussi;29/08/2024 22:34:25
CSG/CRDS;Transfert;;-0,79 ?;R‚ussi;17/08/2024 05:00:40
Remboursement mensualit‚ n§2 li‚e au projet Le Zola;Transfert;;4,58 ?;R‚ussi;17/08/2024 05:00:39
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/08/2024 10:33:56
Remboursement mensualit‚ n§3 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/08/2024 10:33:56
Souscription au projet Le CŠdre;Transfert;;-505,00 ?;R‚ussi;31/07/2024 11:08:31
Annulation de la souscription au projet Le CŠdre;Transfert;;500,00 ?;R‚ussi;31/07/2024 11:08:00
Souscription au projet Le CŠdre;Transfert;;-500,00 ?;R‚ussi;31/07/2024 11:07:48
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;31/07/2024 10:47:37
Remboursement mensualit‚ n§6 li‚e au projet L'Europe;Transfert;;5,29 ?;R‚ussi;31/07/2024 10:47:36
Cr‚dit du compte;Carte de cr‚dit;;493,00 ?;R‚ussi;30/07/2024 12:48:39
Souscription au projet Le Cuivre;Transfert;;-500,00 ?;R‚ussi;19/07/2024 12:06:41
CSG/CRDS;Transfert;;-0,79 ?;R‚ussi;17/07/2024 05:00:28
Remboursement mensualit‚ n§1 li‚e au projet Le Zola;Transfert;;4,58 ?;R‚ussi;17/07/2024 05:00:28
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/07/2024 06:11:53
Remboursement mensualit‚ n§2 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/07/2024 06:11:52
Retrait de l'‚pargne;Virement bancaire;;-533,92 ?;R‚ussi;04/07/2024 10:49:46
CSG/CRDS;Transfert;;-6,99 ?;R‚ussi;02/07/2024 06:10:49
Remboursement mensualit‚ n§8 li‚e au projet L'Iliade;Transfert;;540,66 ?;R‚ussi;02/07/2024 06:10:48
Cr‚dit du compte;Carte de cr‚dit;;452,00 ?;R‚ussi;01/07/2024 22:49:26
Cr‚dit du compte;Carte de cr‚dit;;542,00 ?;chec;01/07/2024 23:24:22
Cr‚dit du compte;Carte de cr‚dit;;452,00 ?;chec;01/07/2024 22:48:09
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;24/06/2024 05:08:08
Remboursement mensualit‚ n§5 li‚e au projet L'Europe;Transfert;;5,29 ?;R‚ussi;24/06/2024 05:08:07
CSG/CRDS;Transfert;;-6,75 ?;R‚ussi;14/06/2024 15:04:37
Remboursement mensualit‚ n§22 li‚e au projet Le Quattuor;Transfert;;45,80 ?;R‚ussi;14/06/2024 15:04:36
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/06/2024 05:48:34
Remboursement mensualit‚ n§1 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/06/2024 05:48:33
Souscription au projet Les Nuages ;Transfert;;-500,00 ?;R‚ussi;05/06/2024 12:02:10
Souscription au projet Le Zola;Transfert;;-500,00 ?;R‚ussi;05/06/2024 10:00:35
Cr‚dit du compte;Carte de cr‚dit;;165,00 ?;R‚ussi;30/05/2024 18:51:57
Cr‚dit du compte;Carte de cr‚dit;;164,00 ?;chec;30/05/2024 19:06:00
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;30/05/2024 14:25:17
Remboursement mensualit‚ n§4 li‚e au projet L'Europe;Transfert;;5,29 ?;R‚ussi;30/05/2024 14:25:16
CSG/CRDS;Transfert;;-2,58 ?;R‚ussi;27/05/2024 10:04:45
Remboursement mensualit‚ n§3 li‚e au projet Le Cayenne;Transfert;;515,01 ?;R‚ussi;27/05/2024 10:04:44
CSG/CRDS;Transfert;;-4,37 ?;R‚ussi;21/05/2024 15:17:00
Remboursement mensualit‚ n§5 li‚e au projet Le Magenta;Transfert;;322,30 ?;R‚ussi;21/05/2024 15:16:59
Souscription au projet Le Vitton;Transfert;;-500,00 ?;R‚ussi;30/04/2024 10:02:06
Cr‚dit du compte;Virement bancaire;;500,00 ?;R‚ussi;30/04/2024 03:30:24
Souscription au projet Le Coach;Transfert;;-500,00 ?;R‚ussi;26/04/2024 17:26:47
Cr‚dit du compte;Virement bancaire;;492,00 ?;R‚ussi;26/04/2024 16:30:23
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;25/04/2024 01:29:10
Remboursement mensualit‚ n§3 li‚e au projet L'Europe;Transfert;;5,29 ?;R‚ussi;25/04/2024 01:29:10
Annulation de la souscription au projet La Confluence;Transfert;;4,00 ?;R‚ussi;11/04/2024 11:28:52
Souscription au projet La Confluence;Transfert;;-4,00 ?;R‚ussi;11/04/2024 10:07:18
Cr‚dit du compte;Carte de cr‚dit;;496,00 ?;chec;11/04/2024 10:00:57
Cr‚dit du compte;Carte de cr‚dit;;496,00 ?;chec;11/04/2024 09:59:48
Cr‚dit du compte;Carte de cr‚dit;;496,00 ?;chec;11/04/2024 09:59:11
Cr‚dit du compte;Carte de cr‚dit;;496,00 ?;chec;11/04/2024 09:57:59
Cr‚dit du compte;Carte de cr‚dit;;496,00 ?;chec;11/04/2024 10:11:38
Cr‚dit du compte;Carte de cr‚dit;;495,00 ?;chec;08/04/2024 15:00:14
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;24/03/2024 02:27:30
Remboursement mensualit‚ n§2 li‚e au projet L'Europe;Transfert;;5,29 ?;R‚ussi;24/03/2024 02:27:30
Souscription au projet L'Aiguille;Transfert;;-500,00 ?;R‚ussi;22/03/2024 12:04:43
Annulation de la souscription au projet Le Canel‚;Transfert;;1,00 ?;R‚ussi;22/03/2024 11:57:53
Souscription au projet Le Canel‚;Transfert;;-1,00 ?;R‚ussi;20/03/2024 10:00:39
Cr‚dit du compte;Carte de cr‚dit;;313,00 ?;R‚ussi;18/03/2024 10:49:29
Cr‚dit du compte;Carte de cr‚dit;;312,00 ?;chec;18/03/2024 10:54:26
CSG/CRDS;Transfert;;-12,61 ?;R‚ussi;14/03/2024 02:39:32
Remboursement mensualit‚ n§16 li‚e au projet L'Envol;Transfert;;198,41 ?;R‚ussi;14/03/2024 02:39:31
Souscription au projet Le Cayenne;Transfert;;-500,00 ?;R‚ussi;11/03/2024 10:01:18
Souscription au projet L'Olive ;Transfert;;-3,00 ?;R‚ussi;24/02/2024 17:18:06
CSG/CRDS;Transfert;;-0,91 ?;R‚ussi;22/02/2024 17:21:49
Remboursement mensualit‚ n§1 li‚e au projet L'Europe;Transfert;;5,29 ?;R‚ussi;22/02/2024 17:21:48
Retrait de l'‚pargne;Virement bancaire;;-66,60 ?;R‚ussi;02/02/2024 08:08:30
CSG/CRDS;Transfert;;-0,07 ?;R‚ussi;31/01/2024 14:58:17
Remboursement mensualit‚ n§9 li‚e au projet Le H‚risson;Transfert;;39,93 ?;R‚ussi;31/01/2024 14:58:17
CSG/CRDS;Transfert;;-0,38 ?;R‚ussi;26/01/2024 15:54:52
Remboursement mensualit‚ n§4 li‚e au projet La Voile ;Transfert;;218,68 ?;R‚ussi;26/01/2024 15:54:52
Souscription au projet L'Europe;Transfert;;-500,00 ?;R‚ussi;10/01/2024 13:10:18
CSG/CRDS;Transfert;;-2,68 ?;R‚ussi;29/12/2023 12:43:58
Remboursement mensualit‚ n§3 li‚e au projet La Voile ;Transfert;;311,12 ?;R‚ussi;29/12/2023 12:43:57
Souscription au projet Le Magenta;Transfert;;-500,00 ?;R‚ussi;15/12/2023 10:05:22
Retrait de l'‚pargne;Virement bancaire;;-143,87 ?;R‚ussi;13/12/2023 23:24:20
CSG/CRDS;Transfert;;-12,49 ?;R‚ussi;13/12/2023 16:46:37
Remboursement mensualit‚ n§8 li‚e au projet Le H‚risson;Transfert;;933,07 ?;R‚ussi;13/12/2023 16:46:37
CSG/CRDS;Transfert;;-0,61 ?;R‚ussi;08/12/2023 16:20:47
Remboursement mensualit‚ n§4 li‚e au projet Le Pommier ;Transfert;;223,90 ?;R‚ussi;08/12/2023 16:20:47
Souscription au projet L'Om‚ga ;Transfert;;-500,00 ?;R‚ussi;04/12/2023 12:02:00
Cr‚dit du compte;Carte de cr‚dit;;310,09 ?;R‚ussi;02/12/2023 00:23:43
CSG/CRDS;Transfert;;-2,62 ?;R‚ussi;16/11/2023 09:41:02
Remboursement mensualit‚ n§3 li‚e au projet Le Pommier ;Transfert;;163,83 ?;R‚ussi;16/11/2023 09:41:02
CSG/CRDS;Transfert;;-5,96 ?;R‚ussi;15/11/2023 09:31:23
Remboursement mensualit‚ n§15 li‚e au projet Le Quattuor;Transfert;;34,66 ?;R‚ussi;15/11/2023 09:31:22
Souscription au projet La Mangue ;Transfert;;-500,00 ?;R‚ussi;13/11/2023 10:08:59
Cr‚dit du compte;Carte de cr‚dit;;500,00 ?;R‚ussi;13/11/2023 09:49:41
Souscription au projet L'Iliade;Transfert;;-500,00 ?;R‚ussi;25/10/2023 15:01:41
Cr‚dit du compte;Carte de cr‚dit;;499,47 ?;R‚ussi;25/10/2023 14:40:16
Souscription au projet La Voile ;Transfert;;-512,00 ?;R‚ussi;25/09/2023 10:02:12
CSG/CRDS;Transfert;;-2,60 ?;R‚ussi;22/09/2023 11:08:14
Remboursement mensualit‚ n§3 li‚e au projet Le Raisin;Transfert;;515,13 ?;R‚ussi;22/09/2023 11:08:14
Retrait de l'‚pargne;Virement bancaire;;-329,81 ?;R‚ussi;14/09/2023 15:21:04
CSG/CRDS;Transfert;;-1,75 ?;R‚ussi;14/09/2023 11:13:13
Remboursement mensualit‚ n§2 li‚e au projet Le Gaillard ;Transfert;;301,04 ?;R‚ussi;14/09/2023 11:13:13
CSG/CRDS;Transfert;;-0,17 ?;R‚ussi;12/09/2023 17:24:10
Remboursement mensualit‚ n§4 li‚e au projet Le Windsor;Transfert;;30,37 ?;R‚ussi;12/09/2023 17:24:10
Souscription au projet Le Pommier ;Transfert;;-500,00 ?;R‚ussi;11/08/2023 12:01:59
